username,problem,verdict,language,time,memory
 suryamadhavan,Boxes and Colours, Runtime Error,  Python3, 0.016867s, 2 KB
 sravya,Chloe Loves Flowers , Accepted,  Python3, 0.017014s, 2 KB
 jsnehal1,Hide n Seek,  Wrong Answer,  Python3, 0.024723s, 2888 KB
 msarvesh,Chloe Loves Flowers , Runtime Error,  Python3, 0.017152s, 2 KB
 msarvesh,Chloe Loves Flowers , Runtime Error,  Python3, 0.016651s, 2 KB
 msarvesh,Chloe Loves Flowers , Runtime Error,  Python3, 0.017077s, 2 KB
 suryamadhavan,Boxes and Colours,  Wrong Answer,  C++, 0.008596s, 2 KB
 suryamadhavan,Hide n Seek, Accepted,  C++, 0.008614s, 2 KB
 lats_123,Interesting Discount, Runtime Error,  C++, 0.017877s, 2 KB
 bhaktig,Chloe Loves Flowers ,  Compilation Error,  Python3, 0s, 0KB
 Shashank-Deep,Chloe Loves Flowers ,  Wrong Answer,  C, 0.010321s, 2 KB
 SRiVARi,Hide n Seek,  Wrong Answer,  Python3, 0.025756s, 2888 KB
 Sucharya01,Chloe Loves Flowers , Accepted,  Python3, 0.030186s, 2888 KB
 SRiVARi,Hide n Seek,  Wrong Answer,  Python3, 0.02566s, 2888 KB
 SRiVARi,Hide n Seek,  Wrong Answer,  Python3, 0.025739s, 2888 KB
 suryamadhavan,Boxes and Colours, Runtime Error,  Python3, 0.016867s, 2 KB
 sravya,Chloe Loves Flowers , Accepted,  Python3, 0.017014s, 2 KB
 jsnehal1,Hide n Seek,  Wrong Answer,  Python3, 0.024723s, 2888 KB
 msarvesh,Chloe Loves Flowers , Runtime Error,  Python3, 0.017152s, 2 KB
 msarvesh,Chloe Loves Flowers , Runtime Error,  Python3, 0.016651s, 2 KB
 msarvesh,Chloe Loves Flowers , Runtime Error,  Python3, 0.017077s, 2 KB
 suryamadhavan,Boxes and Colours,  Wrong Answer,  C++, 0.008596s, 2 KB
 suryamadhavan,Hide n Seek, Accepted,  C++, 0.008614s, 2 KB
 lats_123,Interesting Discount, Runtime Error,  C++, 0.017877s, 2 KB
 bhaktig,Chloe Loves Flowers ,  Compilation Error,  Python3, 0s, 0KB
 Shashank-Deep,Chloe Loves Flowers ,  Wrong Answer,  C, 0.010321s, 2 KB
 SRiVARi,Hide n Seek,  Wrong Answer,  Python3, 0.025756s, 2888 KB
 Sucharya01,Chloe Loves Flowers , Accepted,  Python3, 0.030186s, 2888 KB
 SRiVARi,Hide n Seek,  Wrong Answer,  Python3, 0.02566s, 2888 KB
 SRiVARi,Hide n Seek,  Wrong Answer,  Python3, 0.025739s, 2888 KB
 SRiVARi,Chloe Loves Flowers , Accepted,  Python3, 0.017402s, 2 KB
 jsnehal1,Interesting Discount, Accepted,  Python3, 0.030079s, 2888 KB
 jsnehal1,Interesting Discount,  Wrong Answer,  Python3, 0.016793s, 2 KB
 Ronnie468,Interesting Discount, Accepted,  Python3, 0.016512s, 2 KB
 Prathamesh,Hide n Seek, Accepted,  C++, 0.009616s, 2 KB
 kanddakumaran,Chloe Loves Flowers ,  Wrong Answer,  Python3, 0.016724s, 2 KB
 kanddakumaran,Chloe Loves Flowers ,  Wrong Answer,  Python3, 0.016607s, 2 KB
 Abd786,Boxes and Colours,  Wrong Answer,  Python3, 0.05464s, 2888 KB
 Abd786,Interesting Discount,  Wrong Answer,  Python3, 0.028944s, 2888 KB
 Prathamesh,Interesting Discount, Accepted,  C++, 0.021359s, 2 KB
 Prathamesh,Interesting Discount,  Wrong Answer,  C++, 0.021317s, 2 KB
 Abd786,Hide n Seek, Accepted,  Python3, 0.028682s, 2888 KB
 Prathamesh,Boxes and Colours, Accepted,  C++, 0.022002s, 2 KB
 Abd786,Hide n Seek,  Wrong Answer,  Python3, 0.028808s, 2888 KB
 kanddakumaran,Chloe Loves Flowers ,  Wrong Answer,  Python3, 0.027241s, 2 KB
 SRiVARi,Interesting Discount, Accepted,  Python3, 0.029539s, 2888 KB
 kanddakumaran,Chloe Loves Flowers ,  Wrong Answer,  Python3, 0.028211s, 3144 KB
 Sd2000,Hide n Seek, Accepted,  Python3, 0.053018s, 2888 KB
 Codelord_10,Boxes and Colours, Accepted,  Python3, 0.254993s, 2888 KB
 Aditya14022002,Hide n Seek, Accepted,  C++, 0.022008s, 2 KB
